Authors (Year),article,DOI/ISBN,Application environment,Logistic focus,Technical artifact delivered,Validation type
Jin et al. (2021),A Dynamic Joint Real-Time Scheduling Strategy of Truck and Yard Crane in Container Terminals,10.1109/ICNSC52481.2021.9702168,container terminal,"truck scheduling, truck-crane joint scheduling, yard operations, yard resource scheduling","heuristic, metaheuristic","computational experiment, simulation, synthetic data"
Li and Li (2010),Modeling and Simulation of Container Terminal Logistics Systems Using Harvard Architecture and Agent-Based Computing,10.1109/WSC.2010.5679030,container terminal,"yard operations, yard resource scheduling, yard trailer dispatching",simulation model,"computational experiment, simulation"
Li et al. (2009),Modeling and Simulation of Yard Trailer Dispatching at Container Terminals,10.1109/ICAL.2009.5262988,container terminal,"yard operations, yard trailer dispatching","mathematical model, simulation model","computational experiment, simulation"
Liu and Liu (2016),The Hybrid Intelligence Swam Algorithm for Berth-Quay Cranes and Trucks Scheduling Optimization Problem,10.1109/ICCI-CC.2016.7862049,container terminal,"inbound-outbound synchronization, truck-crane joint scheduling, yard trailer dispatching","hybrid optimization framework, mathematical model, metaheuristic","computational experiment, simulation"
Supeno el at. (2015),Optimum Scheduling System for Container Truck Based on Genetic Algorithm on Spin(Simulator Pelabuhan Indonesia),10.1109/IDM.2015.7516352,container terminal,"truck scheduling, yard operations","metaheuristic, prototype/software tool","computational experiment, simulation"
Zhang et al. (2022),Real-Time Scheduling of Autonomous Mining Trucks via Flow Allocation-Accelerated Tabu Search,10.1109/TIV.2022.3166564,generic logistic system,"reactive rescheduling, truck routing, truck scheduling","hybrid optimization framework, mathematical model, metaheuristic, prototype/software tool, simulation model","computational experiment, simulation"
Zhang et al. (2021),Scheduling of Autonomous Mining Trucks: Allocation Model Based Tabu Search Algorithm Development,10.1109/ITSC48978.2021.9564491,generic logistic system,"truck dispatching, truck routing, truck scheduling","hybrid optimization framework, mathematical model, metaheuristic",computational experiment
Zouhaier and Ben Said (2016),An {{Application Oriented Multi-Agent Based Approach}} to {{Dynamic Truck Scheduling}} at {{Cross-Dock}},10.1109/PDCAT.2016.058,not specified,"gate operations, queue / congestion management, yard operations","mathematical model, prototype/software tool",computational experiment
da Silva et al. (2023),Integration of Machine Learning and Simulation for Dynamic Rescheduling in Truck Appointment Systems,10.1016/j.simpat.2023.102747,not specified,"queue / congestion management, reactive rescheduling, truck scheduling","Machine learning model, prototype/software tool, simulation model","computational experiment, simulation"
Essghaier et al. (2023),Fuzzy Multi-Objective Truck Scheduling in Multi-Modal Rail-Road Physical Internet Hubs,10.1016/j.cie.2023.109404,intermodal rail terminal,"intermodal terminal transfer, truck scheduling","exact algorithm, mathematical model",computational experiment
Khodashenas et al. (2026),The Cost and Time Objectives Minimization in Cross-Dock Truck Scheduling of Perishable Goods Considering Uncertainty,10.5829/ije.2026.39.02b.16,cross-docking center,"cross-docking operations, truck scheduling","exact algorithm, hybrid optimization framework, mathematical model, metaheuristic",computational experiment
Luan et al. (2025),An Efficient Real-Time Railway Container Yard Management Method Based on Partial Decoupling,10.1109/TASE.2025.3559241,intermodal rail terminal,"intermodal terminal transfer, yard operations, yard resource scheduling","Machine learning model, exact algorithm, hybrid optimization framework, mathematical model",computational experiment
Movassaghi and Darestani (2021),Multiple Cross-Docks Scheduling with Multiple Doors Using Fuzzy Approach and Metaheuristic Algorithms,10.48295/ET.2020.79.3,cross-docking center,"cross-docking operations, truck routing, truck scheduling",mathematical model,synthetic data
Fonseca et al. (2025),A Predictive-Reactive Cross-Dock Rescheduling System under Truck Arrival Uncertainty,10.1007/s11590-024-02137-6,cross-docking center,"cross-docking operations, truck scheduling",heuristic,computational experiment
Wang et al. (2023),Flexible Storage Yard Management in Container Terminals under Uncertainty,10.1016/j.cie.2023.109753,container terminal,"yard operations, yard resource scheduling","heuristic, mathematical model, metaheuristic",computational experiment
Xu et al. (2021),Optimization for a Multi-Constraint Truck Appointment System Considering Morning and Evening Peak Congestion,10.3390/su13031181,container terminal,"queue / congestion management, truck scheduling","mathematical model, metaheuristic",computational experiment
Bouyahia et al. (2025),A Novel Truck Appointment System for Container Terminals,10.3390/su17135740,container terminal,"gate operations, queue / congestion management, truck scheduling","mathematical model, metaheuristic",computational experiment
Cota et al. (2022),Integrating Vehicle Scheduling and Open Routing Decisions in a Cross-Docking Center with Multiple Docks,10.1016/j.cie.2021.107869,not specified,"truck routing, truck scheduling","exact algorithm, heuristic, mathematical model, metaheuristic, prototype/software tool",computational experiment
Fonseca et al. (2025),Stability Approach to {{CDC}} Truck Scheduling Problem under Uncertainty,10.1007/s11590-024-02137-6,cross-docking center,"cross-docking operations, truck scheduling",heuristic,computational experiment
Kappatos et al. (2025),Truck Service Optimisation in Port Areas by Comparing Genetic Algorithm and Cuckoo Search Algorithm,10.2478/ttj-2025-0030,not specified,"truck scheduling, yard resource scheduling","mathematical model, metaheuristic, simulation model","computational experiment, simulation"
Movassaghi and Darestani (2021),Cross-Docks Scheduling with Multiple Doors Using Fuzzy Approach,10.48295/ET.2020.79.3,cross-docking center,"cross-docking operations, truck routing, truck scheduling",mathematical model,"computational experiment, synthetic data"
Sha et al. (2021),"Simulation Model to Determine Ratios between Quay, Yard and Intra-Terminal Transfer Equipment in an Integrated Container Handling System",10.24006/JILT.2021.19.1.001,container terminal,"truck-crane joint scheduling, yard resource scheduling","prototype/software tool, simulation model","computational experiment, simulation"
Torbali e Alpan (2023),A Multi-Agent-Based Real-Time Truck Scheduling Model for Cross-Docking Problems with Single Inbound and Outbound Doors,10.1016/j.sca.2023.100028,cross-docking center,"cross-docking operations, truck scheduling",simulation model,"computational experiment, simulation"
Wang et al. (2025),Optimizing Expressway Battery Electric Vehicle Charging and Mobile Storage Energy Truck Scheduling: A Two-Stage Approach to Improve Photovoltaic Generation Utilization,10.1016/j.energy.2025.135145,not specified,truck dispatching,"exact algorithm, mathematical model",computational experiment
Zheng et al. (2026),Truck Scheduling Optimization at a Cold Chain Cross-Docking Terminal Considering Uncertainties and the Door-Mixed Service Mode,10.1016/j.eswa.2025.129849,cross-docking center,"cross-docking operations, truck scheduling","hybrid optimization framework, mathematical model, metaheuristic",
Abbas et al. (2018),A Constrained Fuzzy Knowledge-Based System for the Management of Container Yard Operations,10.1007/s40815-018-0448-9,container terminal,"yard operations, yard resource scheduling","heuristic, hybrid optimization framework, simulation model","computational experiment, simulation"
Cekała et al. (2015),Truck Loading Schedule Optimization Using Genetic Algorithm for Yard Management,10.1007/978-3-319-15702-3_52,generic logistic system,"truck scheduling, yard operations, yard resource scheduling","metaheuristic, prototype/software tool","computational experiment, real data, simulation"
Vahdani and Shahramfard (2019),A Truck Scheduling Problem at a Cross-Docking Facility with Mixed Service Mode Dock Doors,10.1108/EC-08-2018-0355,cross-docking center,"cross-docking operations, inbound-outbound synchronization, queue / congestion management, truck scheduling","hybrid optimization framework, mathematical model, metaheuristic",computational experiment
Xu et al. (2022),Dynamic Appointment Rescheduling of Trucks under Uncertainty of Arrival Time,10.3390/jmse10050695,container terminal,"gate operations, queue / congestion management, reactive rescheduling, truck scheduling","mathematical model, metaheuristic, simulation model","computational experiment, simulation"
Banyai and Trojahn (2025),Adaptive Real-Time Planning of Trailer Assignments in High-Throughput Cross-Docking Terminals,10.3390/a18110679,cross-docking center,"cross-docking operations, inbound-outbound synchronization, reactive rescheduling, truck scheduling","decision support system, exact algorithm, hybrid optimization framework, mathematical model",computational experiment
Eti et al. (2025),Multi-Door Cross-Dock Scheduling under Flexible Doors Mode and Material Handling Resource Restrictions,10.1016/j.cor.2025.107183,cross-docking center,"cross-docking operations, inbound-outbound synchronization, truck scheduling","exact algorithm, hybrid optimization framework, mathematical model, metaheuristic",computational experiment
Modica et al. (2024),Integrating Arrival Time Estimation in Truck Scheduling: An Explorative Study in Grocery Retailing,10.1080/21693277.2024.2425678,generic logistic system,"queue / congestion management, reactive rescheduling, truck scheduling, yard resource scheduling","decision support system, heuristic, mathematical model","computational experiment, real data"
Noh et al. (2025),Inbound Truck Scheduling for Workload Balancing in Cross-Docking Terminals,10.3390/math13152533,cross-docking center,"cross-docking operations, queue / congestion management, reactive rescheduling, truck scheduling","hybrid optimization framework, mathematical model, simulation model","computational experiment, real data, simulation"
